date,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
10/1/2021,CMG US Equity,LYV US Equity,ETSY US Equity,EXPE US Equity,FND US Equity,BBWI US Equity,SQ US Equity,6758 JP Equity,NOW US Equity,CHTR US Equity,RACE IM Equity,MSFT US Equity,PYPL US Equity,ABNB US Equity,PLNT US Equity
11/1/2021,CMG US Equity,ETSY US Equity,LYV US Equity,BBWI US Equity,6758 JP Equity,RACE IM Equity,NOW US Equity,EXPE US Equity,FND US Equity,CHTR US Equity,MSFT US Equity,BILL US Equity,PLNT US Equity,RH US Equity,ABNB US Equity
12/1/2021,CMG US Equity,LYV US Equity,EXPE US Equity,ETSY US Equity,FND US Equity,RACE IM Equity,6758 JP Equity,CHTR US Equity,NOW US Equity,MSFT US Equity,BBWI US Equity,PLNT US Equity,ABNB US Equity,RH US Equity,EL US Equity
1/1/2022,CMG US Equity,LYV US Equity,EXPE US Equity,FND US Equity,ETSY US Equity,RACE IM Equity,6758 JP Equity,MSFT US Equity,CHTR US Equity,PLNT US Equity,EVD GR Equity,ABNB US Equity,NOW US Equity,NFLX US Equity,RH US Equity
2/1/2022,CMG US Equity,EXPE US Equity,LYV US Equity,FND US Equity,ETSY US Equity,RACE IM Equity,6758 JP Equity,MSFT US Equity,CHTR US Equity,NOW US Equity,EVD GR Equity,ABNB US Equity,BILL US Equity,SAIL US Equity,GLBE US Equity
3/1/2022,CMG US Equity,EXPE US Equity,LYV US Equity,6758 JP Equity,FND US Equity,ETSY US Equity,SAIL US Equity,ABNB US Equity,NYT US Equity,NOW US Equity,MSFT US Equity,RACE IM Equity,CHTR US Equity,EVD GR Equity,PLNT US Equity
4/1/2022,EXPE US Equity,CMG US Equity,SAIL US Equity,LYV US Equity,RACE IM Equity,6758 JP Equity,AYX US Equity,NYT US Equity,NEWR US Equity,NOW US Equity,FND US Equity,MSFT US Equity,EVD GR Equity,ABNB US Equity,ETSY US Equity
5/1/2022,CMG US Equity,LYV US Equity,NOW US Equity,AYX US Equity,RACE IM Equity,SAIL US Equity,EXPE US Equity,6758 JP Equity,MSFT US Equity,PLNT US Equity,V US Equity,NYT US Equity,EVD GR Equity,SPLK US Equity,FND US Equity
6/1/2022,CMG US Equity,LYV US Equity,NOW US Equity,RACE IM Equity,MSFT US Equity,SAIL US Equity,V US Equity,PLNT US Equity,AYX US Equity,6758 JP Equity,ETSY US Equity,NEWR US Equity,SPLK US Equity,NYT US Equity,TTWO US Equity
7/1/2022,LYV US Equity,CMG US Equity,RACE IM Equity,MSFT US Equity,PLNT US Equity,6758 JP Equity,NOW US Equity,SPLK US Equity,V US Equity,NEWR US Equity,AYX US Equity,ETSY US Equity,SAIL US Equity,TTWO US Equity,CXM US Equity
8/1/2022,CMG US Equity,LYV US Equity,MSFT US Equity,AYX US Equity,PLNT US Equity,RACE IM Equity,AMZN US Equity,NOW US Equity,ETSY US Equity,DG US Equity,6758 JP Equity,NEWR US Equity,GOOGL US Equity,V US Equity,SPLK US Equity
9/1/2022,CMG US Equity,RACE IM Equity,PLNT US Equity,DG US Equity,NOW US Equity,LYV US Equity,ETSY US Equity,AYX US Equity,COUP US Equity,NEWR US Equity,6758 JP Equity,CXM US Equity,MSFT US Equity,SPLK US Equity,AMZN US Equity
10/1/2022,DG US Equity,RACE IM Equity,NOW US Equity,PLNT US Equity,AYX US Equity,NEWR US Equity,COUP US Equity,LYV US Equity,CMG US Equity,ETSY US Equity,LW US Equity,6758 JP Equity,GO US Equity,NFLX US Equity,CXM US Equity
11/1/2022,RACE IM Equity,DG US Equity,NOW US Equity,PLNT US Equity,COUP US Equity,LW US Equity,CMG US Equity,6758 JP Equity,AYX US Equity,ORLY US Equity,NEWR US Equity,NFLX US Equity,ETSY US Equity,GO US Equity,LYV US Equity
12/1/2022,6758 JP Equity,AYX US Equity,CFR SW Equity,CMG US Equity,COUP US Equity,CXM US Equity,DG US Equity,DPZ US Equity,EL FP Equity,ETSY US Equity,GO US Equity,LW US Equity,LYV US Equity,MC FP Equity,NEWR US Equity
1/1/2023,6758 JP Equity,AYX US Equity,CFR SW Equity,CMG US Equity,COUP US Equity,CXM US Equity,DG US Equity,DPZ US Equity,EL FP Equity,ETSY US Equity,GO US Equity,LW US Equity,LYV US Equity,MC FP Equity,NEWR US Equity
