date,MTN US Equity,RACE IM Equity,QSR US Equity,PYPL US Equity,CRM US Equity,MSFT US Equity,DG US Equity,NYT US Equity,LYV US Equity,FND US Equity,CMG US Equity,EXPE US Equity,6758 JP Equity,ETSY US Equity,ADBE US Equity,PLNT US Equity,PLAN US Equity,AYX US Equity,V US Equity,NOW US Equity,SAIL US Equity,CFR SW Equity,ADS GR Equity,MA US Equity,CHTR US Equity,BBWI US Equity,VIV FP Equity,COUP US Equity,Z US Equity,ABNB US Equity,SQ TB Equity,NEWR US Equity,LW US Equity,CXM US Equity,AENA SM Equity,FDC US Equity,BKNG US Equity,OKTA US Equity,AMZN US Equity,WP US Equity,PHIA NA Equity,RAMP US Equity,BURL US Equity,SPLK US Equity,DPZ US Equity,EL FP Equity,DIS US Equity,BILL US Equity,ORLY US Equity,STZ US Equity,EVD GR Equity,GO US Equity,MCD US Equity,NFLX US Equity,TTWO US Equity,INTU US Equity,WLN FP Equity,SNAP US Equity,GOOGL US Equity,DATA US Equity,RH US Equity,MC FP Equity,7974 JP Equity,DLTR US Equity,ZEN US Equity,BBY US Equity,SHOP US Equity,EL US Equity,GLBE US Equity
12/1/2020,273.34,177.15,57.37,216.54,241.35,216.21,219.84,44.76,68.11,81.44,26.4212,126.22,1960,154.67,479.15,75.11,68.74,116.01,211.2,539.59,0,74.98,272.3,338.88,662.25,31.4383576,1.622877729,328.56,107.19,#N/A,1.87,60.16,72.75,#N/A,14.1,#N/A,2052.67,236.99,161.004,#N/A,40.35247798,57.81,220.58,206.43,391.75,125.75,149.44,123.84,30.23733333,205.74,51.75,37.8,216.14,504.58,180.06,356.82,76.74,44.5,89.768,#N/A,453.9,496.75,5737,112.39,131.36,108.86,106.906,247.17,#N/A
1/1/2021,278.96,188.65,61.11,234.2,222.53,222.42,210.3,51.77,73.48,92.85,27.7342,132.4,2057,177.91,500.12,77.63,71.85,121.79,218.73,550.43,0,80.08,297.9,356.94,661.55,30.05636296,1.700219003,338.91,129.8,146.8,1.72,65.4,78.74,#N/A,14.22,#N/A,2227.27,254.26,162.8465,#N/A,40.523718,73.19,261.55,169.89,383.46,127.55,181.18,136.5,30.17133333,219.05,54.4,39.25,214.58,540.73,207.79,379.85,79.1,50.07,87.632,#N/A,447.52,510.9,6583,108.04,143.12,99.79,113.195,266.19,#N/A
2/1/2021,261.83,176.4,59.06,241.85,228.46,239.65,192.75,49.78,67.56,93.93,30.1804,127.3,2031,203.77,470,73.5,71.08,126.64,198.36,558.56,0,82.84,272.3,321.56,599.02,33.83058224,1.653169728,317.8,137.05,180.44,1.99,75.31,75.6,#N/A,12.91,#N/A,1990.46,266.37,167.144,#N/A,43.04603713,78.63,248.33,171.63,371.42,120.5,170.97,130.74,29.10266667,215.06,49.64,42.42,207.93,539.04,200.94,373.58,72.16,56.85,94.6535,#N/A,484.04,507.7,6264,100.86,147.73,107.69,114.493,241.85,#N/A
3/1/2021,314.22,164.15,61.37,273.63,217.54,236.94,192.9,55.01,92.86,95.68,29.699,161.24,2281,244.58,469.57,84.66,65.89,96.18,216.63,556.47,0,89.2,293.8,362.9,619.68,45.864442,1.846522912,350.99,167,196.42,2,63.55,81.27,#N/A,14.11,#N/A,2320.5,269.81,157.307,#N/A,42.34719274,66.04,263.97,151.26,345.06,136.55,194.98,171.48,30.082,217.75,56.25,35.91,208.25,550.64,187.45,406.41,74.5,66.67,103.483,#N/A,505.96,537.1,6527,99.23,150.54,101.69,130.994,293.95,#N/A
4/1/2021,295.03,178.05,65.55,247.54,218.72,242.35,202.4,50.49,88.07,98.89,28.7692,175.93,2330,208.2,483.34,78.52,54.92,84.64,216.86,507.01,0,92.1,272.5,363.3,608.58,49.9457712,1.804629722,262.28,133.41,188.24,2.42,62.9,78.08,#N/A,13.8,#N/A,2382.46,229.7,158.05,#N/A,45.50356274,53.06,299.29,138.27,373.38,138.44,188.97,149.87,33.85466667,229.62,52.1,36.8,225.21,539.42,180.15,395.23,71.8,54.49,106.489,#N/A,595.63,571.7,6292,115.93,139.8,115.76,115.541,292.33,#N/A
5/1/2021,325.16,178.15,68.61,262.29,230.32,252.18,214.75,45.41,81.88,110.92,29.8406,176.23,2180,198.79,508.34,83.99,59.65,81.75,233.56,506.37,0,93.64,257.5,382.06,673.45,53.2593256,1.869080784,269.04,130.12,172.71,2.14,64.3,80.5,#N/A,14.47,#N/A,2466.08,269.7,173.371,#N/A,43.39314526,48.98,326.33,126.42,422.34,138.4,186.02,154.63,36.85866667,240.32,57.3,40.39,236.08,513.47,175.38,412.16,81.63,61.82,117.675,#N/A,688.02,626.2,6269,114.9,146.15,116.27,118.251,313.8,#N/A
6/1/2021,332.86,173.4,70.47,259.27,236.2,247.4,201.42,43.15,91.97,97.79,27.2226,177.31,2166,163.46,495.91,77.63,51.11,76.76,226.63,469.17,0,112.55,298.05,359.79,688.89,57.21134536,1.908395931,234.07,113.56,144.31,3.02,62.73,83.96,#N/A,14.565,#N/A,2328.28,218.64,160.9325,#N/A,42.72206953,49.47,314.46,120.28,423,141.96,178.84,151.59,35.84333333,237.35,56.96,34.22,233.24,499.08,182.76,438.66,77.77,63.69,119.059,#N/A,636.34,657.1,6676,98.88,134.62,114.9,125.156,304.08,34.9
7/1/2021,322.99,171.7,65.16,289,244.98,271.6,217.81,44.33,88.59,105.7,30.7646,167.03,2188,199.51,584.73,75.42,53.14,83.59,235.15,545.17,0,111.85,314.4,370.71,721.8,59.45001504,1.836855253,262.25,120.6,153.08,2.7,66.54,80.78,19.86,13.965,#N/A,2210.02,240.74,171.6485,#N/A,38.22817618,46.9,326.27,141.02,466.02,152.98,177.26,179.85,38.35866667,232.03,54.7,34.3,232.27,533.54,178.97,491.05,80.03,67.66,122.4445,#N/A,690.54,663.9,6451,99.91,142.87,116.37,145.8,317.08,55.84
8/1/2021,305.2,183.85,68.19,275.53,241.93,284.91,232.64,43.78,78.89,122.01,37.2688,160.87,2275,183.51,621.63,75.23,57.2,77.4,246.39,587.89,0,116,306.4,385.94,744.05,64.71129288,1.836855253,217,106.26,144.01,2.4,69.08,66.77,19.34,13.42,#N/A,2178.26,247.79,166.3795,#N/A,35.99742789,40.01,334.8,141.98,525.49,159.16,176.02,206.82,40.256,224.34,57.14,33.12,242.71,517.57,173.42,529.97,78.91,74.42,134.7265,#N/A,664.08,673.9,5640,99.79,130.53,112.35,149.993,333.83,69.64
9/1/2021,305.33,184.75,64.67,286.75,268.32,301.83,222.69,51.45,86.36,125.6,37.9668,146.17,2288,216.78,665.89,79.84,66.16,74.84,230.12,650.85,0,103.3,301.3,349.57,818.44,66.24,2.096593031,252.76,98.65,156.59,2.34,79.26,65.58,15.51,13.81,#N/A,2286.85,264.76,173.95,#N/A,36.41395765,50.06,304.13,156.6,515.4,167.5,183.48,277.13,39.50266667,214.91,55.08,25.83,238.15,582.07,161.93,563.13,75.99,74.17,145.2155,#N/A,704.69,646.8,5372,89.99,123.9,116.78,153.903,344.31,81.69
10/1/2021,349,179.75,62.28,264.65,275.26,289.1,209.21,49.61,98.73,118.75,36.572,169.79,2417,204.37,577.47,83.09,61.98,74.02,230.46,632.8,0,99.06,273.1,360.18,738.08,64,2.40973769,221.3,90.36,173.01,2.4,72.97,62.8,17.7,14.97,#N/A,2455.87,238.08,164.163,#N/A,34.92833482,47.99,284.94,145.14,475.07,167.06,176.01,277.13,40.296,213.48,66.3,21.39,242.93,613.15,158.54,543.97,65.52,75.25,136.543,#N/A,646.45,630,4957,97.98,116.69,105.31,135.076,310.68,71.06
11/1/2021,354.76,210.6,57.64,231.28,302.76,329.37,220.47,55.03,104.04,139.73,36.0238,167.23,2770,243.62,640.2,82.88,65.73,75.56,212.46,681.98,0,114.35,284,334.05,671.37,71.64,2.457400395,237.88,97.15,174.6,2.36,82.43,57.56,19.7,14.565,#N/A,2489.69,250.2,165.9055,#N/A,37.80701831,54.96,287.35,166,487.38,183.78,170.19,299.75,41.31533333,220.21,66.3,23.27,250.58,681.17,183.8,608.81,48.595,53.98,143.497,#N/A,669.15,683.4,5060,110.76,100.88,123.91,152.762,325.15,60.81
12/1/2021,329.84,232.5,54.35,179.32,251.5,330.08,222.79,45.68,102.83,126.17,32.0416,155.66,2779,259.28,657.41,78.71,40.77,62.41,190.16,599.57,0,138.85,256.1,306.28,634.2,71.6,2.54053302,181.54,53,163.08,2.26,103.82,50.24,12.99,13.275,#N/A,2067.01,198.08,172.186,#N/A,28.74055376,43.78,280.66,111.7,511.65,181.64,142.15,252.02,42.44933333,223.19,57.42,27.62,244.18,617.77,160.35,663.89,46.35,47.26,141.0515,#N/A,564.86,697.5,5067,132.6,99.38,102.25,145.971,325.33,60.32
1/1/2022,327.9,227.5,60.68,188.58,254.13,336.32,235.83,48.3,119.69,130.01,34.965,180.72,2895,218.94,567.06,90.58,45.85,60.5,216.71,649.11,0,136.95,253.2,359.32,651.97,69.79,2.63585843,158.05,63.85,166.49,2.28,109.96,63.38,15.87,13.88,#N/A,2399.23,224.17,166.717,#N/A,30.32799498,47.95,291.51,115.72,564.33,187.24,154.89,249.15,47.082,250.97,64.36,28.28,268.07,602.44,177.72,643.22,49.01,47.03,144.852,#N/A,535.94,727,5365,140.52,104.29,101.6,137.739,370.2,63.39
2/1/2022,278.37,207.1,56.49,175.8,232.12,308.76,209.12,41.26,111.09,110.08,30.249,188.06,2554,152.16,535.98,89.24,47.57,56.01,232.36,586.54,0,137.95,244,392.06,596.89,56.29,2.614798165,134.29,51.4,156.94,2.38,106.07,64.59,11.45,14.595,#N/A,2465.64,201.42,151.1935,#N/A,27.38914608,44.6,238.27,124.01,458.3,173.08,144.49,193.73,43.79933333,235.66,64.72,25.46,258.99,457.13,160.25,560.83,44.725,33.66,137.644,#N/A,412.28,732.2,5672,134.24,100.23,100.45,98.42,315.02,38.53
3/1/2022,251.95,189.3,54.64,106.51,208.89,294.95,201.05,43.14,116.7,94.96,29.759,187.85,2355,157.53,466.68,81.8,45.48,63.21,208.97,571.07,0,116.05,204.25,344.48,594.74,50.94,2.452966655,126.29,57.61,151.01,2.3,64.95,63.75,12.23,14.165,#N/A,2072,184.14,151.142,#N/A,27.20402174,43.1,224.28,116.54,432.21,149.7,145.7,230.21,43.768,213.65,60.22,28.17,239.63,386.24,159.8,468.58,43.285,37.84,134.0615,#N/A,396.2,625.8,5812,139.71,116.8,97.18,67.344,285.59,39.66
4/1/2022,259.31,199.55,58.22,116.67,212.25,309.42,226.3,46.05,114.37,80.18,31.8808,198.2,2506,127.05,458.19,84.69,65.21,74.6,226.36,548.69,0,117.15,210.05,363.97,561.68,47.46,2.64029217,102.76,48.93,173.07,2.12,67.36,61.2,12,14.715,#N/A,2367.83,148.79,163.56,#N/A,25.96831677,38.54,181.95,147.87,397.18,165.7,137,232.5,44.49533333,233.71,62.45,33.67,249.25,373.47,151.88,483.93,39.31,37.39,140.1505,#N/A,320.54,649.6,6366,159.43,123.81,90.38,69.3,274.41,34.28
5/1/2022,254.16,203,57.09,87.93,175.94,277.52,237.53,38.32,104.88,79.72,29.1122,174.75,2244,93.19,395.95,80.03,64.99,64.2,213.13,478.1,0,115.5,190.16,363.38,428.49,52.89,2.42968952,86.3,39.82,153.21,2.06,63.27,66.1,13.65,13.63,#N/A,2210.31,119.31,124.2815,#N/A,23.14054248,31.32,203.56,122.02,338,163.8,111.63,170.71,40.43666667,246.09,65.1,33.67,249.16,190.36,119.51,418.75,37.85,28.46,114.1095,#N/A,336.12,619.5,5991,162.45,122.04,89.93,42.682,264.06,22.54
6/1/2022,250.19,177.65,51.85,82.48,176.07,272.42,218.82,34.2,94.51,75.39,27.4944,126.23,2474,80.94,418.16,69.98,65.6,55.92,209.93,475.13,0,106.25,182.86,357.06,495.38,39.57,2.44299074,68.69,39.39,116.72,2.06,47.17,66.57,12.67,14.035,#N/A,2238.57,84.43,121.684,#N/A,21.29392719,25.84,164.95,102.59,360.85,148.3,109.19,115.67,41.64066667,244.18,58.6,38.15,249.28,192.91,124.63,408.37,38.09,13.93,113.892,#N/A,290,597.8,5842,161.01,90.12,80.08,36.153,250.42,18.57
7/1/2022,223.15,177.65,51.59,71.4,168.2,259.58,246.35,28.6,83.06,64.97,26.136,96.4,2162,79.81,368.48,69.29,63.73,49.57,199.18,484.36,0,100.25,168.26,318.24,480.92,27.88,2.121101216,59.47,33.67,91.41,1.98,51.73,71.66,10.11,12.385,#N/A,1767.98,95.98,109.56,#N/A,18.67904589,26.74,138,91.96,403.61,143.85,96.14,113.69,42.40533333,235.43,51.2,43.5,252.96,179.95,124.86,388.31,35.46,13.17,108.7375,#N/A,220.7,580,5736,156.27,74.51,66.77,31.41,256.52,22.03
8/1/2022,238.59,206.9,54.46,88.565,182.98,278.01,252.08,31.54,95.28,81.01,31.1476,102.79,2264,103.61,411.09,78.87,#N/A,48.52,211.36,453.77,0,113.95,171.22,350.54,426.56,37.32,2.03065292,66.38,35.28,111.2,1.89,60.29,80.6,11.53,12.07,#N/A,1906.67,98.53,135.39,#N/A,18.21253256,26.92,150.17,104.5,390.12,157.4,106.22,134.67,47.266,244.15,54.3,42.3,264.23,226.21,127.56,448.46,42.91,9.54,114.86,#N/A,282.14,688.3,5893,166.69,75.42,76.98,36.44,273.51,24.3
9/1/2022,222.76,191.85,59.35,92.66,153.53,260.4,242.77,30.97,90.2,81.69,32.263,101.73,2200,106.13,370.53,65.76,#N/A,60.76,200.13,430.56,0,104.95,146.12,325.25,420.33,38.42,1.949072104,56.5,34.37,113.4,1.97,58.35,79.52,11.32,12.015,#N/A,1852.51,60.6,127.82,#N/A,15.23758441,19.46,143.81,88.42,371.62,147.3,112.53,149.87,47.098,247.52,51.6,40.01,256.47,230.04,120.72,425.5,42.6,11.64,109.74,#N/A,252.71,632.8,5711,137.38,76.69,71.85,31.27,251.18,30.5
10/1/2022,215.64,191.7,53.18,86.07,143.84,232.9,239.86,28.75,76.04,70.26,30.0552,93.69,1857.2,100.13,275.2,57.66,#N/A,55.84,177.65,377.61,0,94.28,117,284.34,303.35,32.6,1.767288764,58.8,28.61,105.04,1.84,57.38,77.38,9.22,10.69,#N/A,1643.21,56.87,113,#N/A,14.80994719,18.16,111.89,75.2,310.2,140.35,94.33,132.37,46.89,229.68,42.02,33.29,230.74,235.44,109,387.32,40.68,9.82,95.65,#N/A,246.07,610.4,5854,136.1,76.1,63.34,26.94,215.9,26.76
11/1/2022,220.74,199.1,58.97,83.11,159.82,228.17,254.14,29.14,79.43,71.28,29.5544,95.66,2010,91.43,316.02,65.5,#N/A,48.1,206.93,418.56,0,101.1,99.06,333.19,357,34.16,1.851973198,53.07,30.98,109.05,1.88,58.92,86.18,9.01,11.83,#N/A,1889.52,55,96.79,#N/A,12.20709897,18.4,140.11,82.85,333.44,161.3,106,130.44,55.6,243.44,48.86,34.3,272.95,286.75,116.31,394.77,44.03,10.25,90.47,#N/A,250.44,650.8,6075,158.12,76.72,68.88,34.79,206.76,24.85
12/1/2022,258.83,216.1,66.28,78.53,147,254.69,236.34,36.01,73.55,77.84,32.5166,105.93,2265,139.39,344.11,79.47,#N/A,46.3,217,425.6,0,123,124.74,360.8,389.16,43.27,1.973901048,64.43,38.32,101.27,1.86,58.18,86.51,8.74,12.425,#N/A,2060.29,67.43,95.5,#N/A,13.22898533,22.42,194.61,91.49,385.58,178,98.59,123.64,57.14533333,258.72,61.05,30.57,273.4,316.95,106.4,416.07,45.52,10.87,100.99,#N/A,281.2,721,5808,149.72,77.48,86.47,43.4,231.96,24.4
1/1/2023,238.35,200.2,64.67,71.22,132.59,239.82,246.25,32.46,69.74,69.63,27.7498,87.6,2007,119.78,336.53,78.8,#N/A,50.67,207.76,388.27,#N/A,119.9,127.46,347.73,339.1,42.14,1.976117918,79.17,32.21,85.5,1.85,56.45,89.36,8.17,11.73,#N/A,2015.28,68.33,84,#N/A,12.96240628,23.44,202.76,86.09,346.4,169.2,86.88,108.96,56.26866667,231.75,59.6,29.19,263.53,294.88,104.13,389.22,36.53,8.95,88.23,#N/A,267.19,679.9,5532,141.44,#N/A,80.21,34.71,248.11,20.64
